,date,ticker,sentiment
321,2023-02-27,goog,0
322,2023-02-27,goog,0
323,2023-02-27,goog,0
324,2023-02-25,goog,1
325,2023-02-24,goog,0
326,2023-02-24,goog,0
327,2023-02-24,goog,1
328,2023-02-24,goog,1
329,2023-02-24,goog,-1
330,2023-02-24,goog,-1
331,2023-02-24,goog,0
332,2023-02-24,goog,0
333,2023-02-24,goog,-1
334,2023-02-24,goog,0
335,2023-02-24,goog,0
336,2023-02-23,goog,-1
337,2023-02-23,goog,0
338,2023-02-23,goog,0
339,2023-02-23,goog,0
340,2023-02-23,goog,0
341,2023-02-23,goog,0
342,2023-02-23,goog,0
343,2023-02-23,goog,0
344,2023-02-23,goog,0
345,2023-02-23,goog,0
346,2023-02-23,goog,0
347,2023-02-23,goog,-1
348,2023-02-23,goog,0
349,2023-02-23,goog,1
350,2023-02-23,goog,-1
351,2023-02-22,goog,-1
352,2023-02-22,goog,1
353,2023-02-22,goog,1
354,2023-02-22,goog,-1
355,2023-02-22,goog,1
356,2023-02-22,goog,-1
357,2023-02-22,goog,1
358,2023-02-22,goog,0
359,2023-02-22,goog,0
360,2023-02-22,goog,-1
361,2023-02-22,goog,1
362,2023-02-22,goog,0
363,2023-02-22,goog,0
364,2023-02-22,goog,0
365,2023-02-22,goog,0
366,2023-02-22,goog,0
367,2023-02-22,goog,1
368,2023-02-22,goog,0
369,2023-02-22,goog,0
370,2023-02-22,goog,1
371,2023-02-22,goog,1
372,2023-02-22,goog,-1
373,2023-02-22,goog,0
374,2023-03-02,jnj,0
375,2023-03-01,jnj,0
376,2023-03-01,jnj,0
377,2023-02-28,jnj,0
378,2023-02-28,jnj,1
379,2023-02-28,jnj,-1
380,2023-02-28,jnj,0
381,2023-02-27,jnj,0
382,2023-02-27,jnj,0
383,2023-02-27,jnj,0
384,2023-02-27,jnj,1
385,2023-02-27,jnj,1
386,2023-02-27,jnj,1
387,2023-02-27,jnj,1
388,2023-02-24,jnj,1
389,2023-02-23,jnj,-1
390,2023-02-22,jnj,0
391,2023-02-22,jnj,0
392,2023-02-21,jnj,0
393,2023-02-21,jnj,-1
394,2023-02-21,jnj,0
395,2023-02-20,jnj,1
396,2023-02-18,jnj,0
397,2023-02-16,jnj,0
398,2023-02-16,jnj,0
399,2023-02-16,jnj,1
400,2023-02-16,jnj,1
401,2023-02-15,jnj,1
402,2023-02-15,jnj,1
403,2023-02-15,jnj,0
404,2023-02-14,jnj,0
405,2023-02-14,jnj,-1
406,2023-02-14,jnj,0
407,2023-02-14,jnj,0
408,2023-02-14,jnj,-1
409,2023-02-14,jnj,1
410,2023-02-14,jnj,0
411,2023-02-14,jnj,0
412,2023-02-14,jnj,0
449,2023-03-02,BTC-USD,-1
450,2023-03-02,BTC-USD,1
451,2023-03-02,BTC-USD,1
452,2023-03-02,BTC-USD,0
453,2023-03-01,BTC-USD,0
454,2023-03-01,BTC-USD,-1
455,2023-03-01,BTC-USD,0
456,2023-03-01,BTC-USD,0
457,2023-02-28,BTC-USD,-1
458,2023-02-28,BTC-USD,0
459,2023-02-28,BTC-USD,1
460,2023-02-27,BTC-USD,-1
461,2023-02-27,BTC-USD,0
462,2023-02-24,BTC-USD,1
463,2023-02-24,BTC-USD,-1
464,2023-02-24,BTC-USD,0
465,2023-02-23,BTC-USD,-1
466,2023-02-23,BTC-USD,0
467,2023-02-23,BTC-USD,0
468,2023-02-22,BTC-USD,0
469,2023-02-22,BTC-USD,-1
470,2023-02-21,BTC-USD,0
471,2023-02-21,BTC-USD,0
472,2023-02-18,BTC-USD,0
473,2023-02-18,BTC-USD,1
474,2023-02-17,BTC-USD,0
475,2023-02-17,BTC-USD,0
476,2023-02-16,BTC-USD,1
477,2023-02-16,BTC-USD,-1
478,2023-02-16,BTC-USD,-1
479,2023-02-16,BTC-USD,0
480,2023-02-15,BTC-USD,-1
481,2023-02-15,BTC-USD,0
482,2023-02-14,BTC-USD,0
483,2023-02-14,BTC-USD,0
484,2023-02-14,BTC-USD,-1
485,2023-02-14,BTC-USD,0
487,2023-03-02,BTC-USD,0
488,2023-03-02,BTC-USD,0
489,2023-03-02,BTC-USD,0
490,2023-03-02,BTC-USD,1
491,2023-03-01,BTC-USD,0
492,2023-03-01,BTC-USD,0
493,2023-03-01,BTC-USD,1
494,2023-03-01,BTC-USD,-1
495,2023-03-01,BTC-USD,1
496,2023-03-01,BTC-USD,-1
497,2023-03-01,BTC-USD,0
498,2023-03-01,BTC-USD,-1
499,2023-02-28,BTC-USD,1
500,2023-02-28,BTC-USD,0
501,2023-02-28,BTC-USD,0
502,2023-02-28,BTC-USD,-1
503,2023-02-28,BTC-USD,-1
504,2023-02-28,BTC-USD,0
505,2023-02-28,BTC-USD,-1
506,2023-02-28,BTC-USD,0
507,2023-02-28,BTC-USD,0
508,2023-02-28,BTC-USD,-1
509,2023-02-28,BTC-USD,0
510,2023-02-28,BTC-USD,0
511,2023-02-27,BTC-USD,0
512,2023-02-27,BTC-USD,0
513,2023-02-27,BTC-USD,-1
514,2023-02-27,BTC-USD,1
515,2023-02-25,BTC-USD,-1
516,2023-02-24,BTC-USD,-1
517,2023-02-24,BTC-USD,0
518,2023-02-24,BTC-USD,0
519,2023-02-24,BTC-USD,0
520,2023-02-24,BTC-USD,0
521,2023-02-24,BTC-USD,1
522,2023-02-24,BTC-USD,0
523,2023-02-24,BTC-USD,0
524,2023-02-24,BTC-USD,-1
525,2023-02-24,BTC-USD,0
526,2023-02-23,BTC-USD,0
527,2023-02-23,BTC-USD,1
528,2023-02-23,BTC-USD,0
529,2023-02-23,BTC-USD,0
530,2023-02-23,BTC-USD,1
531,2023-02-23,BTC-USD,0
532,2023-02-22,BTC-USD,-1
533,2023-02-22,BTC-USD,-1
534,2023-02-22,BTC-USD,0
535,2023-02-22,BTC-USD,0
536,2023-02-22,BTC-USD,0
537,2023-02-22,BTC-USD,0
538,2023-02-22,BTC-USD,1
539,2023-02-22,BTC-USD,0
540,2023-02-22,BTC-USD,-1
541,2023-02-21,BTC-USD,1
542,2023-02-21,BTC-USD,-1
543,2023-02-21,BTC-USD,0
544,2023-02-21,BTC-USD,-1
545,2023-02-21,BTC-USD,-1
546,2023-02-21,BTC-USD,0
547,2023-02-21,BTC-USD,0
